category,profile,month,year,fb_followers,fb_number_likes,fb_number_comments,fb_number_posts,insta_followers,insta_number_comments,insta_number_posts,insta_number_likes,twitter_fans,twitter_number_posts,twitter_number_likes,twitter_retweets
Líderes Mundiais,Nicolás Maduro,7,19,868662.0,288052.0,54632.0,218.0,,25228.0,117.0,347492.0,3645181.0,348.0,573395.0,698993.0
Líderes Mundiais,Emmanuel Macron,7,19,2442530.0,237685.0,40044.0,35.0,1393123.0,19760.0,11.0,558434.0,4049839.0,62.0,239092.0,65532.0
Líderes Mundiais,Viktor Orbán,7,19,652109.0,182201.0,9025.0,28.0,,,,,36768.0,0.0,0.0,0.0
Líderes Mundiais,Boris Johnson,7,19,602526.0,180166.0,43868.0,47.0,,,,,814772.0,72.0,271773.0,55501.0
Líderes Mundiais,Benjamin Netanyahu,7,19,2436094.0,761850.0,168227.0,143.0,682511.0,77598.0,122.0,1351182.0,1633848.0,187.0,359693.0,68553.0
Líderes Mundiais,Justin Trudeau,7,19,6703772.0,554819.0,69268.0,101.0,,,,,4536076.0,416.0,259290.0,43081.0
Líderes Mundiais,Iván Duque,7,19,905199.0,214400.0,30166.0,112.0,626862.0,10129.0,34.0,280795.0,911936.0,304.0,229933.0,95851.0
Líderes Mundiais,Scott Morrison,7,19,186854.0,91015.0,12001.0,31.0,65259.0,3615.0,21.0,74408.0,184037.0,51.0,30876.0,4549.0
Líderes Mundiais,Piñera,7,19,502930.0,60802.0,19327.0,43.0,435705.0,20089.0,33.0,275282.0,2234223.0,45.0,66048.0,21841.0
Líderes Mundiais,Giuseppe Conte,7,19,916330.0,543588.0,74656.0,69.0,,,,,246545.0,43.0,38961.0,8529.0
Líderes Mundiais,Pedro Sánchez,7,19,264291.0,54645.0,16502.0,31.0,,,,,1064208.0,112.0,138989.0,49900.0
Líderes Mundiais,Rody Duterte,7,19,4338963.0,0.0,0.0,0.0,,,,,184402.0,0.0,0.0,0.0
Líderes Mundiais,Jair Bolsonaro,8,19,9792575.0,14316558.0,1663992.0,184.0,13697773.0,1185121.0,96.0,31336191.0,5029107.0,170.0,6990574.0,1103009.0
Líderes Mundiais,Donald Trump,8,19,24350688.0,14735355.0,1839476.0,323.0,,471088.0,59.0,15490923.0,63780909.0,675.0,34844826.0,7875433.0
Líderes Mundiais,Narendra Modi,8,19,44236611.0,5799854.0,533175.0,22.0,,,,,49725377.0,287.0,9229123.0,1418024.0
Líderes Mundiais,Erdogan,8,19,9282990.0,701848.0,84688.0,39.0,,74124.0,9.0,4566667.0,14036471.0,47.0,770745.0,150230.0
Líderes Mundiais,Lacalle Pou,8,19,124864.0,49591.0,6061.0,49.0,33809.0,1626.0,43.0,63159.0,134336.0,176.0,37830.0,11931.0
Líderes Mundiais,Cristina Kirchner,8,19,2539816.0,579730.0,144106.0,23.0,866494.0,49282.0,12.0,1061690.0,5520640.0,47.0,500632.0,150438.0
Líderes Mundiais,Obrador,8,19,6090240.0,1934014.0,386317.0,79.0,,6862.0,6.0,208606.0,5936560.0,63.0,635898.0,176849.0
Líderes Mundiais,Giuseppe Conte,8,19,1063383.0,1235160.0,330373.0,31.0,,,,,269649.0,15.0,40216.0,8168.0
Líderes Mundiais,Matteo Salvini,8,19,3762232.0,10256931.0,3511769.0,353.0,1773587.0,1132182.0,317.0,14496453.0,1138974.0,474.0,1485356.0,288184.0
Líderes Mundiais,Emmanuel Macron,8,19,2486241.0,185881.0,123127.0,31.0,1459501.0,115485.0,8.0,577564.0,4144137.0,49.0,389468.0,115440.0
Líderes Mundiais,Alberto Fernández,8,19,186299.0,534967.0,82214.0,48.0,409786.0,40438.0,38.0,1322995.0,337842.0,143.0,855309.0,238382.0
Líderes Mundiais,Iván Duque,8,19,907064.0,272337.0,43062.0,125.0,632881.0,10092.0,36.0,186749.0,933509.0,335.0,248746.0,102581.0
Líderes Mundiais,Nicolás Maduro,8,19,874873.0,433331.0,66878.0,238.0,631864.0,22512.0,189.0,416205.0,3657945.0,371.0,564383.0,688357.0
Líderes Mundiais,Rody Duterte,8,19,4338064.0,6358.0,1541.0,1.0,,,,,184325.0,0.0,0.0,0.0
